code;canton;departement;cereales;racines_et_legumes_divers;cultures_diverses;prairies_artificielles;jacheres;total_des_terres_labourables;prairies_naturelles;vignes;autres_cultures_arborescentes;paturages;autres_surfaces_ecoumene;superficie_totale;marais_susceptibles_d_etre_desseches;code_departement;centre;longitude;latitude
261;DIE;DROME;43614;4483;265;5994;20478;74834;5165;4481;204;64879;85379;234942;378;26;;5,3878000;44,7515000
262;MONTELIMAR;DROME;29043;4458;1159;5514;6930;47104;2028;9925;309;13388;40481;113235;300;26;;4,7454000;44,5545000
263;NYONS;DROME;21464;3531;766;4803;8904;39468;1324;3623;1046;35656;34917;116034;0;26;;5,1243000;44,3585000
264;VALENCE;DROME;64156;9787;3399;15800;13515;106657;7917;6209;1402;12089;53670;187944;1000;26;;4,9164000;44,9234000
271;LES ANDELYS;EURE;40602;5508;2376;14416;6919;69821;2628;143;3438;2219;26081;104330;70;27;;1,4241000;49,2391000
272;BERNAY;EURE;38801;3529;2238;10643;14402;69613;4521;0;8209;2928;23847;109118;0;27;;0,5978000;49,0912000
273;EVREUX;EURE;83330;6376;3492;26808;18612;138618;4773;832;10432;4627;51639;210921;12;27;;1,1406000;49,0180000
274;LOUVIERS;EURE;29567;4749;2376;5462;5620;47774;2289;161;2926;1509;23852;78511;3;27;;1,1562000;49,2213000
275;PONT AUDEMER;EURE;28077;4124;3680;6095;9874;51850;9323;0;10925;3064;17723;92885;1475;27;;0,5259000;49,3476000
281;CHARTRES;EURE ET LOIR;118153;4923;2561;39031;21284;185952;2919;1829;141;991;17319;209151;50;28;;1,5046000;48,4481000
282;CHATEAUDUN;EURE ET LOIR;78607;1663;1365;22690;19026;123351;4050;662;53;1520;14969;144605;1037;28;;1,3207000;48,0718000
283;DREUX;EURE ET LOIR;57961;2310;2129;25939;19838;108177;4106;1775;44;1932;34914;150948;0;28;;1,3578000;48,7482000
284;NOGENT LE ROTROU;EURE ET LOIR;31699;372;981;12139;14284;59475;6528;52;5;1363;15303;82726;174;28;;0,8071000;48,3197000
291;BREST;FINISTERE;42516;9390;1284;4714;7681;65585;6922;0;271;48288;20377;141443;1952;29;;-4,4996000;48,4084000
292;CHATEAULIN;FINISTERE;50750;3112;896;3029;15011;72798;12200;0;391;75120;22677;183186;4550;29;;-4,0765000;48,2023000
293;MORLAIX;FINISTERE;37929;8406;3243;5804;10171;65553;8615;0;222;38063;20029;132482;1601;29;;-3,8214000;48,5971000
294;QUIMPER;FINISTERE;39461;3579;1184;1849;12500;58573;8244;0;946;58953;13272;139988;1448;29;;-4,0972000;47,9982000
