code;canton;departement;cereales;racines_et_legumes_divers;cultures_diverses;prairies_artificielles;jacheres;total_des_terres_labourables;prairies_naturelles;vignes;autres_cultures_arborescentes;paturages;autres_surfaces_ecoumene;superficie_totale;marais_susceptibles_d_etre_desseches
443;NANTES ;LOIRE INFERIEURE;49861;10103;4726;6825;18285;89800;28998;18617;1868;8426;26302;174011;3646
444;PAIMBOEUF ;LOIRE INFERIEURE;25966;2250;1179;1640;16358;47393;12292;4086;0;3057;10042;76870;1105
445;SAVENAY ;LOIRE INFERIEURE;45211;3380;2341;2733;15194;68859;44165;2515;446;55243;46664;217892;5310
450;LOIRET;;246069;12851;9759;60919;105613;435211;28019;37854;356;26508;149170;677118;1038
451;GIEN ;LOIRET;55733;1876;2667;7966;24884;93126;7519;2605;184;8871;34854;147159;120
452;MONTARGIS ;LOIRET;63356;3005;2411;13457;35033;117262;8786;4694;7;1311;35599;167659;630
453;ORLEANS ;LOIRET;70601;5521;2644;22922;26997;128685;9929;21743;165;15836;65698;242056;288
454;PITHIVIERS ;LOIRET;56379;2449;2037;16574;18699;96138;1785;8812;0;490;13019;120244;0
460;LOT;;168897;15987;4793;5998;41997;237672;24715;56096;34176;60585;107929;521173;119
461;CAHORS ;LOT;72048;6558;2072;2618;15756;99052;5208;36098;1489;20775;53776;216398;83
462;FIGEAC ;LOT;42119;4139;1460;1641;15807;65166;13285;8338;26424;19949;23006;156168;4
463;GOURDON ;LOT;54730;5290;1261;1739;10434;73454;6222;11660;6263;19861;31147;148607;32
470;LOT ET GARONNE;;172360;13738;11320;22188;72304;291910;41800;66792;4314;26335;104245;535396;1884
471;AGEN ;LOT ET GARONNE;39084;3919;2795;6730;16230;68758;7300;12962;2021;1418;8744;101203;2
472;MARMANDE ;LOT ET GARONNE;46744;3122;4755;6308;18625;79554;14600;22850;155;1789;21959;140907;22
473;NERAC ;LOT ET GARONNE;31236;1966;1387;3768;16083;54440;6740;13124;324;20366;43826;138820;1850
474;VILLENEUVE ;LOT ET GARONNE;55296;4731;2383;5382;21366;89158;13160;17856;1814;2762;29716;154466;10
480;LOZERE;;126964;4163;834;2128;57994;192083;55558;1035;32075;161891;74332;516974;652
481;FLORAC ;LOZERE;22749;1067;236;655;9052;33759;13582;871;26800;69976;23848;168836;0
482;MARVEJOLS ;LOZERE;52721;1717;352;811;28044;83645;28000;146;2145;31843;24656;170435;10
483;MENDE ;LOZERE;51494;1379;246;662;20898;74679;13976;18;3130;60072;25828;177703;642
490;MAINE ET LOIRE;;235060;58406;24305;45458;97697;460926;85850;30499;1034;27723;106060;712092;420
491;ANGERS ;MAINE ET LOIRE;45758;10438;9110;10182;21252;96740;21410;10582;288;4862;20703;154585;0
492;BAUGE ;MAINE ET LOIRE;48177;8630;3588;6177;20529;87101;13350;3658;91;9554;26875;140629;300
493;CHOLET ;MAINE ET LOIRE;50662;21725;3080;12823;24983;113273;22000;2833;382;6985;16313;161786;120
494;SAUMUR ;MAINE ET LOIRE;41894;9225;5585;7801;14672;79177;13613;13086;0;5700;27278;138854;0
495;SEGRE ;MAINE ET LOIRE;48569;8388;2942;8475;16261;84635;15477;340;273;622;14891;116238;0
